epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.6238	0.5319	4896	0.79 hr	277.63s	35.90s	313.55s
19	0.6778	0.4730	10336	1.58 hr	279.54s	33.08s	312.63s
29	0.6836	0.4500	15776	2.36 hr	279.48s	25.07s	304.58s
39	0.7015	0.4360	21216	3.15 hr	277.12s	29.79s	306.93s
49	0.7059	0.4301	26656	3.93 hr	279.16s	24.94s	304.12s
59	0.7117	0.3968	32096	4.71 hr	277.12s	26.63s	303.77s
69	0.7092	0.3736	37536	5.50 hr	281.70s	25.91s	307.64s
79	0.7086	0.3667	42976	6.29 hr	280.54s	25.07s	305.63s
89	0.7098	0.3511	48416	7.07 hr	278.29s	25.41s	303.72s
98	0.7161	0.3382	53312	7.79 hr	286.06s	25.39s	311.46s
107	0.7184	0.3371	58208	8.49 hr	278.75s	26.80s	305.57s
116	0.7206	0.3167	63104	9.20 hr	276.65s	29.47s	306.14s
125	0.7104	0.3208	68000	9.90 hr	276.74s	25.25s	302.01s
134	0.7070	0.3007	72896	10.60 hr	276.34s	25.56s	301.92s
143	0.7211	0.2928	77792	11.30 hr	274.48s	25.71s	300.23s
152	0.7158	0.2826	82688	12.00 hr	277.74s	25.77s	303.53s
160	0.7126	0.2812	87040	12.62 hr	275.15s	25.33s	300.50s
168	0.7163	0.2742	91392	13.24 hr	275.58s	26.77s	302.37s
176	0.7233	0.2629	95744	13.86 hr	274.30s	25.40s	299.72s
184	0.7189	0.2600	100096	14.48 hr	273.64s	25.51s	299.16s
192	0.7194	0.2512	104448	15.10 hr	275.02s	25.54s	300.59s
200	0.7246	0.2425	108800	15.72 hr	276.64s	25.99s	302.65s
207	0.7232	0.2397	112608	16.26 hr	275.09s	25.85s	300.97s
214	0.7196	0.2376	116416	16.81 hr	274.37s	31.92s	306.33s
221	0.7215	0.2312	120224	17.36 hr	276.31s	24.82s	301.15s
228	0.7170	0.2304	124032	17.90 hr	276.14s	26.34s	302.50s
234	0.7225	0.2299	127296	18.37 hr	276.44s	25.47s	301.92s
240	0.7281	0.2260	130560	18.84 hr	277.05s	27.89s	304.98s
246	0.7235	0.2236	133824	19.30 hr	275.69s	25.52s	301.23s
252	0.7225	0.2219	137088	19.77 hr	275.69s	29.17s	304.91s
257	0.7222	0.2241	139808	20.16 hr	276.00s	26.17s	302.19s
262	0.7204	0.2180	142528	20.55 hr	275.89s	25.87s	301.79s
267	0.7259	0.2172	145248	20.94 hr	276.04s	25.35s	301.41s
271	0.7231	0.2199	147424	21.26 hr	275.27s	29.40s	304.69s
275	0.7231	0.2142	149600	21.57 hr	274.96s	26.06s	301.05s
279	0.7236	0.2143	151776	21.89 hr	274.19s	26.44s	300.66s
282	0.7245	0.2208	153408	22.13 hr	275.10s	26.27s	301.39s
285	0.7246	0.2161	155040	22.36 hr	275.38s	28.92s	304.33s
288	0.7245	0.2127	156672	22.60 hr	273.34s	28.63s	302.00s
290	0.7238	0.2207	157760	22.76 hr	275.69s	25.51s	301.22s
292	0.7241	0.2189	158848	22.92 hr	278.62s	26.89s	305.54s
294	0.7240	0.2125	159936	23.09 hr	282.60s	27.43s	310.06s
296	0.7240	0.2163	161024	23.25 hr	278.16s	26.23s	304.42s
297	0.7239	0.2101	161568	23.33 hr	276.91s	26.87s	303.81s
298	0.7239	0.2211	162112	23.42 hr	278.35s	24.71s	303.09s
299	0.7239	0.2157	162656	23.50 hr	276.16s	25.00s	301.19s
